Words,Devanagari,Root
milnae,मिल्नै
chyaaaaa,छ्या
mai,मै
dammm,दाम
milna,मिल्न
lekhye,लेखे
diena,दिएन
kati,कटी
dekhinx,देखिन्छ
ramamro,राम्म्रो
tatdo,तात्दो
yaar,यार
sodda,सोद्दा
cheyatiko,च्यातेको
pathayexa,पठाएछ
palo,पालो
diyena,दिएन
chaiencha,चाहिन्छ
napathaunus,नपठाउनुस
fita,फिता
napataera,नपताएर
machha,माछा
aadha,आधा
vada,भाडा
hunuparne,हूनुपर्ने
ulta,उल्टा
payina,पायिन
xain,छैन
asul,असुल
paxadi,पछाडि
nikalna,निकाल्न
paxi,पछि
dulhan,दुल्हन
anusarko,अनुसारको
gardenu,गर्देनु
dekhne,देख्ने
charkincha,चर्किन्छ
vanya,भन्या
parla,पर्ला
linus,लिनुस
charkeko,चर्केको
mitho,मिठो
eakdum,एकदम
yiniharu,यिनिहरू
pathaidinu,पठाइदिनु
nivdo,निव्दो
manparyena,मनपरेन
vayoo,भयो
pathaunuvo,पाठाउनुभो
garam,गरम
ghas,घास
gaara,गर
dekhayo,देखायो
testaee,तेस्तै
garina,गरीन
paxu,पाछु
chaldena,चल्देन
khelauna,खेलौना
tikdoo,तिक्दॊ
kegarne,केगर्ने
moto,मोटो
chalxa,चल्छ
hunexa,हुनेछ
thau,ठाउ
mildena,मिल्डेन
dhalne,ढाल्ने
hudeina,हुदैन
magauda,मगाउदा
besi,बेशी
aayako,आएको
theo,थियो
janajani,जानाजानी
ekchoti,एकचोटी
nalekheko,नलेखेको
pathaunuvaxa,पठाउनुभाछ
sunidaina,सुनिदैन
mailay,मैले
nasochi,नसोचि
anusara,अनुशार
holaa,होला
eauta,एउटा
maskauna,मस्काउन
khoi,खोई
lagauna,लागाउन
mah,म
damai,दामै
sabailelinda,सबैलेलिंदा
mitti,मिट्टी
nahola,नहोला
jhukinxa,झुकिन्छ
authyo,आउथ्यो
sulto,सुल्टो
jhunndauna,झुन्न्डाउन
bujaye,बुजाये
bidhan,बिधान
garchhan,गर्छन
halum,हालुम
ramra,राम्रा
dagg,दाग
parxa,पर्छ
puraie,पुरै
alii,अलि
ghara,घर
tirw,तिर
ekdem,एकदम
farakilo,फराकिलो
ekdami,एकदमै
niramro,निराम्रो
gardain,गर्दैन
sammai,सम्मै
jammai,जम्मै
pathauxa,पठाउछ
chyatti,च्यत्ति
rakhda,राख्दा
jabo,जाबो
vayerata,भयेरत
bhudi,भुडी
samayakopani,समयकोपनि
chhodyo,छोड्यो
futay,फुटे
nagrneyy,नगर्ने
dhara,धारा
parauxa,पराउछ
huntho,हुन्थो
garyko,गर्यको
vanxu,भन्छु
hunay,हुने
thekai,ठिकै
bhanchu,भन्छु
pathauchha,पठाउछ
pathako,पठाको
deyo,दियो
hajurharule,हजुरहरुले
sadupayog,सदुपयोग
bishnumati,बिश्नुमति
dekhdai,देख्दै
xee,छे
jhukera,झुकेर
sunxa,सुन्छ
lagayo,लगायो
thikxa,ठिक्छ
phaida,फाईदा
garchu,गर्छू
bha,भा
chuna,चूना
bhaneko,भनेको
garecha,गरेछ
pohor,फोहोर
thikei,ठिकै
bhaihalyo,भैहाल्यो
hunna,हुन्न
lagcha,लाग्छ
parthio,पर्थियो
yetikai,येतिकै
dekhi,देखि
sparsha,स्पर्श
utti,उत्ति
bechxan,बेच्छन
sochako,सोचको
bhansaghar,भान्साघर
nibdoraixa,निब्दोरैछ
aaxa,आछ
aajha,अझ
daag,दाग
hereko,हेरेको
bihan,बिहान
haldinu,हल्दीनु
theyena,थिएन
katti,कट्टि
majale,मजाले
aarko,आर्को
aunu,आउनू
arulai,अरुलाइ
sab,सब
dukkha,दुख
sewa,सेवा
jhumka,झुम्का
tuppo,टुप्पो
kudnu,कुदनु
dadirako,दादिराको
aayush,आयुष
aux,आउछ
gardinu,गर्दिनु 
dekhaunu,देखाउनु
audena,आउडीन
bhaya,भय
garai,गराई
nakhai,नखाइ
bhacheko,भाचेको
dekhinna,देखिन्न
pathayako,पठायको
bhayepani,भएपनि
sajilo,सजिलो
badnam,बदनाम
kaam,काम
silayera,शिलायेर
lyaunu,ल्याउनू
sunera,सुनेर
latheo,लाठेओ
thakai,थकाई
paraykoxa,पराय्कोछ
dekheyxa,देखीय्क्ष
vannai,भन्ने
pathaudaina,पथाउदाईन
thaneko,ठानेको
khiyaa,खिया
khyal,खेल
aabw,आब
paunu,पाउनु
dekhecha,देखेछ 
